City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
214,gagliano del capo,39.8442,18.3695,34.9,57,0,1.66,IT,1692709398
215,sandnessjoen,66.0217,12.6316,16.29,82,75,2.57,NO,1692709157
216,emerald,-23.5333,148.1667,17.39,63,3,4.49,AU,1692709398
217,port augusta,-32.5,137.7667,8.86,63,0,2.18,AU,1692709154
218,fort meade,39.1082,-76.7432,23.71,65,40,6.17,US,1692709399
219,arraial do cabo,-22.9661,-42.0278,22.37,71,0,1.95,BR,1692709205
220,inyonga,-6.7167,32.0667,33.9,14,4,2.24,TZ,1692709209
221,puno,-15.8333,-70.0333,1.76,23,95,0.86,PE,1692709400
222,pacasmayo,-7.4006,-79.5714,20.43,85,100,3.51,PE,1692709401
223,chenaran,36.6455,59.1212,29.93,20,0,1.96,IR,1692709401
224,luanda,-8.8368,13.2343,24.17,77,15,5.69,AO,1692709293
225,avarua,-21.2078,-159.775,21.03,83,75,2.57,CK,1692709148
226,st. thomas,42.7736,-81.1804,17.49,68,98,4.2,CA,1692709402
227,ergani,38.2653,39.7621,37.06,10,0,2.41,TR,1692709403
228,mhamid,29.82,-5.72,41.63,8,0,5.48,MA,1692709403
229,yelizovo,53.1873,158.3805,16.32,82,100,2.84,RU,1692709403
230,whitehorse,60.7161,-135.0538,8.43,81,20,1.03,CA,1692709147
231,alterosa,-21.2492,-46.1431,24.18,43,0,2.19,BR,1692709404
232,savanna-la-mar,18.219,-78.1332,29.1,71,9,3.68,JM,1692709405
233,ulsteinvik,62.3432,5.8487,22.17,78,84,3.13,NO,1692709405
234,sao joao da barra,-21.6403,-41.0511,27.05,66,0,0.36,BR,1692709405
235,isafjordur,66.0755,-23.124,11.02,62,0,1.03,IS,1692709199
236,la gi,10.6667,107.7833,27.23,86,9,4.84,VN,1692709206
237,ceeldheer,3.8488,47.1806,28.98,65,3,9.77,SO,1692709269
238,fatsa,41.0278,37.5014,28.89,60,0,2.89,TR,1692709407
239,nar'yan-mar,67.6713,53.087,13.15,68,79,4.86,RU,1692709407
240,puerto madero,14.7208,-92.4215,24.11,100,75,0.0,MX,1692709408
241,nadi,-17.8,177.4167,22.0,78,40,5.14,FJ,1692709409
242,rio tuba,8.5061,117.4317,27.22,79,91,2.01,PH,1692709409
243,smara,26.7384,-11.6719,40.51,17,52,6.34,EH,1692709158
244,vilhena,-12.7406,-60.1458,32.71,25,83,2.29,BR,1692709410
245,vorgashor,67.5833,63.95,14.5,57,57,4.89,RU,1692709176
246,khekra,28.8667,77.2833,31.03,70,100,6.34,IN,1692709411
247,dakhla,23.6848,-15.958,25.01,83,25,9.77,EH,1692709159
248,cabo san lucas,22.8909,-109.9124,28.62,83,57,0.45,MX,1692709195
249,susuman,62.7833,148.1667,3.07,98,100,2.14,RU,1692709413
250,yuzhno-kurilsk,44.0306,145.8556,20.67,99,100,4.7,RU,1692709127
251,callao,-12.0667,-77.15,19.84,86,97,3.01,PE,1692709289
252,codrington,-38.2667,141.9667,6.5,78,58,4.15,AU,1692709414
253,usinsk,65.9939,57.5281,9.15,95,100,3.69,RU,1692709293
254,abalak,58.1286,68.5944,15.54,54,93,2.69,RU,1692709415
255,bantogon,6.5333,124.0333,26.64,78,100,1.73,PH,1692709416
256,thunder bay,48.4001,-89.3168,13.99,94,100,0.51,CA,1692709142
257,tughyl,47.7252,84.2063,24.85,39,100,2.92,KZ,1692709417
258,corumba,-19.0092,-57.6533,29.95,54,0,4.12,BR,1692709417
259,changde,29.0464,111.6783,26.07,77,0,3.03,CN,1692709265
260,guiuan,11.0333,125.7247,27.53,79,100,5.0,PH,1692709418
261,coahuayana de hidalgo,18.7,-103.6583,25.27,84,78,1.85,MX,1692709418
262,starse,46.4658,15.7672,35.27,40,20,4.12,SI,1692709419
263,beloyarskiy,63.7119,66.6722,11.9,88,100,1.27,RU,1692709288
264,bahia de kino,28.8333,-111.9333,25.51,63,29,6.06,MX,1692709420
265,vezirkopru,41.1436,35.4547,34.27,21,0,6.53,TR,1692709421
266,tazacorte,28.629,-17.9293,28.54,54,0,6.17,ES,1692709192
267,san felice circeo,41.2372,13.0942,37.4,61,0,4.52,IT,1692709421
268,kone,-21.0595,164.8658,17.19,84,11,2.4,NC,1692709251
269,kapuskasing,49.4169,-82.4331,12.0,87,75,1.03,CA,1692709195
270,howrah,22.5892,88.3103,31.0,79,75,5.14,IN,1692709423
271,san patricio,28.017,-97.5169,28.43,85,100,9.29,US,1692709143
272,jutai,-5.1833,-68.9,29.64,50,76,1.36,BR,1692709424
273,tura,25.5198,90.2201,23.53,95,100,3.51,IN,1692709141
274,shakargarh,32.2623,75.1668,34.9,55,61,1.07,PK,1692709425
275,arenapolis,-14.4503,-56.8461,33.36,27,100,4.52,BR,1692709425
276,thinadhoo,0.5333,72.9333,28.17,75,100,5.48,MV,1692709425
277,fada,9.5667,8.3,28.54,66,98,0.68,NG,1692709426
278,felipe carrillo puerto,19.5833,-88.05,24.82,97,94,0.7,MX,1692709426
279,hotan,37.0997,79.9269,35.57,10,33,5.17,CN,1692709427
280,dudinka,69.4058,86.1778,12.57,92,93,3.62,RU,1692709427
281,fort mcmurray,56.7268,-111.381,7.77,100,0,1.03,CA,1692709126
282,ardestan,33.3761,52.3694,37.45,10,12,4.46,IR,1692709428
283,pelabuhanratu,-6.9875,106.5514,24.7,83,89,2.57,ID,1692709428
284,iskateley,67.6803,53.1512,13.08,69,81,5.04,RU,1692709212
285,ailuk,10.2197,169.9797,28.24,78,96,6.96,MH,1692709429
286,winslow,35.0242,-110.6974,18.1,88,20,0.0,US,1692709429
287,talnakh,69.4865,88.3972,12.34,92,100,3.47,RU,1692709138
288,xinyu,27.8043,114.9334,25.81,87,6,0.47,CN,1692709380
289,thurles,52.6819,-7.8022,19.79,75,99,5.0,IE,1692709430
290,las rosas,-32.4766,-61.5804,14.36,55,100,8.23,AR,1692709431
291,zalingei,12.9096,23.4741,32.22,41,79,2.16,SD,1692709431
292,flying fish cove,-10.4217,105.6791,23.82,94,100,6.17,CX,1692709158
293,mokhsogollokh,61.4681,128.9203,12.39,58,96,2.71,RU,1692709432
294,rosarito,32.3333,-117.0333,18.7,83,0,2.53,MX,1692709433
295,maqat,47.65,53.3167,35.69,17,31,10.28,KZ,1692709433
296,amphoe sikhiu,14.8994,101.7083,26.97,78,100,2.7,TH,1692709434
297,edd,13.9297,41.6925,30.67,62,100,8.81,ER,1692709434
298,nishinoomote,30.7333,131.0,27.96,85,26,4.06,JP,1692709362
299,chandbali,20.7833,86.7667,28.96,79,100,5.8,IN,1692709435
300,riverton,40.5219,-111.9391,20.75,68,75,4.92,US,1692709435
301,vangaindrano,-23.35,47.6,24.04,78,23,4.02,MG,1692709436
302,pisco,-13.7,-76.2167,17.23,89,100,0.41,PE,1692709211
303,sola,-13.8833,167.55,24.37,100,75,4.12,VU,1692709132
304,boyolangu,-8.1181,111.8935,22.54,91,54,3.34,ID,1692709437
305,yorkton,51.2167,-102.4677,12.91,94,75,3.09,CA,1692709199
306,selfoss,63.9331,-20.9971,13.91,59,100,2.37,IS,1692709438
